Tweet,Target,Stance,Opinion Towards,Sentiment
"I think marriage is as it has always been, between a man and a woman. - @HillaryClinton  #MarriageEquaility #justsaying #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@HillaryClinton Pin the tail on the DONKEY!  That means you Hilldawg.  #BernieSanders  #Jeb2016 #Cruz2016 #Election2016  #Rubio #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@HillarityPress @Amedicinewoman 1.Food: #Benghazi 4 NeverAteAgain 2.Weather: #Benghazi WasFireHot 3.Pets: #Benghazi 4PetsMissThem #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"I'm 72 yrs old and ever since I was 6 yrs old I wanted to live long enough to see a woman President - Jim from Monticello, IA #SemST",Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
What Are We Believing in?  BELIEVE IN VICTORY. Go for  #VICTORY2016  #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
"The federal government did not create the states, the states created the federal government. Ronald Reagan #Federalism #SemST",Hillary Clinton,AGAINST,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
@tracieeeeee @Irishsmiles1966 @Chloecat317 @weknowwhatsbest THINK POSITIVELY! #OiP #Cruz2016 #MakeDCListen #NoRINOs #NoLibProgs #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
"Congratulations to our Women Soccer Team for just winning the World Cup against Japan 5-2, women rule ! #freeallfour #SemST",Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
Team USA  showed the world what American women are capable of! Is Hillary next? #WWC2015 #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
"@HillaryClinton: Here's to fearless women chasing their goals. Congratulations, Team #USA! H #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@deeceejazz Do we really want to know what's under those pantsuits? Besides the black heart of evil. #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@HillaryClinton FUCK OFF CROTCH ROT BITCH  WE ALL KNOW WHAT YOU THINK ABOUT WOMEN AND RAPED GIRLS #HILLARYCLINTON #USA #SemST,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
"Beware of #Kochtrolls bashing our candidates. I will not bash #Hillary. She's my plan B, for gosh sakes. #Bernie2016 #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"@Breaking911 Probably she made a promise to support gun rights to one citizen, while promising to ban guns to the other #SemST",Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
@nolyklibs Awww does #Killary think posing for that pic will make her look like a real human? @jlconnell66 #Benghazi #Shillary #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@danmericaCNN @GenGSPatton @danamericaIt looked like they were the ones tying the knots. @jlconnell66 #Killary #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other
RT @hamackey: RT @SlyDude3677: @msnbc  Republican Menu...pic.twitter.com/z4PH6VTJFl  #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
The press needs to get out of the way so the peasants can get a glimpse of her Highness. #morningjoe  #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"@HillaryClinton had a duty to preserve ESI Now it's someone's duty to prosecute & sanction her Apparently ""duty"" is irrelevant #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@dougshelton749 @realDonaldTrump  #HRC would be an even bigger threat to America than #Obummer.   #WakeUpAmerica #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@AppSame: Queen @HillaryClinton Was asked What she thought about @realDonaldTrump comments on illegals She Said LET ME EAT PIE #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@dougshelton749   Let's hope her campaign unravels before Dec.  We can't have this liar as next President.  #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"@dougshelton749  If @realDonaldTrump finds evidence, he will expose #HRC as the horrible candidate she is.  #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@dougshelton749 @realDonaldTrump  I'd be happy if that scandal brings her down.  There will be others...  #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
RT @CattyHipster: Live today like it's your last day. But pay bills and dress appropriately just in case it isn't. #420 #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
@TheJackOBrien @instapundit BOOM! I believe the 6th 'reporter' from the left has forgotten her mittens. #MediaStiffArmed #SemST,Hillary Clinton,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
"That's true, as long as one works hard, has a record of accomplishment and deserves it. @HillaryClinton NOT #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
"AKA Depends Day ""It all depends"" and Owebama's positions make you fill your Depends. @jjauthor @weknowwhatsbest #SemST",Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
"#HillaryClinton wants to be elected (thinks she's entitled)to WORK 4 the PEOPLE, & yet, she wants nothing to do with them!#peons #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@WashTimes This is indefensible! One of the dumbest things I have ever seen a campaign do. Even the left was outraged by this.  #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
@thehill Who's in charge of Hillary's campaign? Please get it under control and on message. #smh #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@tiffiwestcott  I got mine and I love it. #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
Education should not be a debt sentence! -Former State Representative Patricia Harper  #FellowsIA #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
Hillary Clinton is a devious & deceitful career politician. She is the Richard Nixon of our time. #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"HRC is a war monger, every bit as bad as any Republican in the race, and probably worse than some. #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
It's interesting how many liberals are so brainwashed and anxious to mindlessly support a woman who isn't even liberal #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
The young Skinheads from yesterday's Aryan Nations has grown up to become the Tea Party of today. Same exact doctrine @msnbc  #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
"If it's been 80+ days since you've done an interview,  can we assume you're not really running for president? #SemST",Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
"@peddoc63 @Fr3333dom Seems the way we're going. Lord, I hope Bilderbergs don't pay for Hitlery like they did O. #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
I dislike our idiots as much as I dislike theirs. #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
Take care of your finances. Spend sensibly. Save for a rainy day. Live within your means. Resist greed. #Greece #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
@politicalmath @BoboFromTexas doesn't matter. Nobody cares if the Clintons make mistakes as long as the checks keep coming. #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
I don't know how well a socialist is gonna play with southern democrats. #BernieSanders #SemST,Hillary Clinton,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
"@Slate @pinkbunny70 Buh-bye, Bernie. I agree w/most of your platform, but your gun stance is unacceptable. #ENDTHENRA #SemST",Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
Barrack Obama doesn't care about his own town! Where do you live? Think he cares about you?   #TheFive #NoSanctuaryCities #2A #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
The recent comments of #HillaryClinton sounded like it was #Netanyahu speaking. Doesn't bode well. #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
There's a special place in hell for those who complain more about Hillary than the scum we're fighting. #Obama #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"@PantanoLaw Thanks for the follow, may God bless you and your family.  #freeallfour #SemST",Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
Dana made this shirt w/ lots of #glitter! #awesome #decoration #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
"@Camilian1Sabel Amen to that, everybody has to pay their way, no welfare either.  #freeallfour #SemST",Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
"Wait...... you said ""BILL COSBY?""  Oh, I'm sorry, I thought you said ""BILL CLINTON!""  #uniteblue #ReadyForHillary #SemST",Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other
Rhodham Hood: It takes a village to  community organize wealth redistribution Obama-style.   #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
I just don't think we need an old white guy in the #WH - Who would his #VP be? voting for #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
SO ANYWAYS WHAT DID HE SAY? ANYTHING ABOUT VOTING FOR ME? #OBAMA #ISIS #ISIL #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
"WHAT IS ""THE THREAD OF VIOLIN EXTREMISM?"" #OBAMA #ISIS #ISIL #tcot #Elocution #SemST",Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
Right now every liberal in America is feeling hopeful. We have GREAT Prez candidates. #UniteBlue #FeelTheBern #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
"@TGowdySC Your committee has NOTHING!, 4 other committees found NOTHING! UR wasting our money on a witch hunt. #HillaryClinton #SemST",Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@AdamSmith_USA Nice video. GOOD Luck WITH it. #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
@HillaryClinton @HillaryforNH hope to see her in NC soon #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
I'm going to miss the 5pm interview so I'm depending on you all to live tweet it. Haha #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
"While I like Bernie as much as the next liberal, if we nominate him we could actually lose to some RWNJ #SemST",Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
Wondering if my Hilary 2016 sticker will affect my popularity at the shooting range... #firstdate #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@AdamSmith_USA because clearly @HillaryClinton is a champion for us all. #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@SenSanders bashes Obama job numbers.Calling it a lie. #istandwithPresidentObama #VoteBlue2016 #HillaryClinton #Democrats #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
just saw ad about @marcorubio being tough on #iran it made my brain hurt #Election2016 #politics #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
"@MarkSoveign won't happen again. Hillary's coattails will help all democrats. Take back senate, Keep WH! Make history again! #SemST",Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"@HillaryClinton now can add #ropegate to her long list of ""accomplishments #hillaryforprison2016 #entertainment #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"Tea Party Nation, Tea Party group listed by Southern Poverty Law Center as hate group. The Tea Party is The NEW Aryan Nations #SemST",Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
"It's time that we move from good words to good works, from sound bites to sound solutions.--@HillaryClinton #ReadyForHillary #SemST",Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
.@politicoroger It is 2015. You and the other high minded media are not more important than then story. Have a seat. #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
"@irritatedwoman She lied under oath before, why trust her to speak the truth now? #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"True Christians follow Mathew, Mark, Luke and John. GOP-Tea Party anti-Christians follow Hannity Limbaugh, O'Reilly and Palin #SemST",Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
@HillaryClinton the @DalaiLama speaks of women in leadership roles bringing about a more compassionate world. #potus #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@HillaryforNV Many thanks for the follow! #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@gabriellahope_ @HillaryClinton Does the general public trust her enough to be President? Don't think so. #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"Based on the long lines, I thought it was free burrito day at Pancheros but it was actually Hillary! #ReadyForHillary #SemST",Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
"I've been called many things, quitter is not one of them -@HillaryClinton in Iowa City Public Library #HillaryforIA #SemST",Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@HillaryClinton condemns anti-Israel boycotts as 'counter-productive' #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
Have full faith in @HillaryClinton's campaign. #strategy #politics #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
"Amazing, inspiring speech&question session in Iowa City from @HillaryClinton .Her answers on education&health care were clear. #SemST",Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
Anyone who knows or whiteness bigotry & does nothing is just as guilty 4 not doing anything morningjoe #UniteBIue #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
"@trayNTP Why doesn't he run as a Socialist? Then he can hit Obama anytime he wants. Otherwise, it's just not done. #Bernie #SemST",Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? Disgusting slobbering over her. #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
My whole day is revolving around @HillaryClinton 's interview with @brikeilarcnn on @CNN and I'm okay with that! #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@LeighAnnKopans can I get your pattern for this cross stitch? I want to make my own! #pride #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
Hillary Clinton Accomplishment of the Day: extended full military health benefits to reservists and National Guard members. #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
"If @HillaryClinton becomes president I'm not leaving the country I will just go ""undocumented. #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
7 years ago this month #POTUS released his groundbreaking First Americans tribal policy platform. You're up #Election2016 #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
@kwrcrow Probably for the same reason bho has not ...& @SpeakerBoehner is one of them @GOP @HouseGOP @seanhannity  #StopBush #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"@HillaryClinton is plain amazing, humble, smart and confident! Let's get it Mrs. President! #HillaryClinton #SemST",Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@thehill Great now Hillary knows how the american people feel about the majority of politicians including her #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"She's smarter and works harder . Empty accusations,inferences,gossip and rumors are rubbish. #SemST",Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"@MedvedSHOW   wow.  So shrill. Hating Hillary as badly as you hate homeless, transgenders, and people who ride trains #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@kasie I do! And I had an invitation to their beta test before they even officially launched. #HillaryLies #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@CNN @jimsciutto Good i'view #Brianna. #Hillary NOT responsible 4 slander/libel-lies r indefensible. WILL be next #POTUS. #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
"Either way, @HillaryClinton rises above the media chatter every time. That's one reason why I admire and respect her so much. #SemST",Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@TwitchyTeam ...and then she'll turn around and treat them like dogs. #RopeLine #SitUbuSitGoodDog #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
"Obama is 'opportunist,' Hillary Clinton no different just 'more militant' - Chomsky #TruthBeTold #notmypresident #SemST",Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@USATODAY @HillaryClinton how about finding her a #pathtoJAIL #DONOTPASSGO do collect any Any more of #WeThePeople s #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@AC360 of course she is disappointed. Hillary only approves of lying to Americans. #WakeUpAmerica #pjnet #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
Trying 2 unfollow every twit who isn't going 2 vote if their candidate doesn't make it to the general.  #FeelTheBern   #SCOTUS #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
ROFLMAO! 2012 @GOP couldnt kiss enough of #DonaldTrump ass! Now GOP cant run fast enough. #tcot #uniteblue #Bernie2016 #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@HillaryClinton made me proud today!  Nothing like reinforcing what I already knew!  #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
@N_Fatale @bayareahausfrau ILLEGAL IMMIGRATION IS GOOD FOR THE ECONOMY AND GOOD FOR OUR CHILDREN #tcot #SemST,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
@HillaryClinton great job on @CNN interview today.  Fuck stupid MSM. Go #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other
Hillary upset GOP candidates didn't respond to Trump's illegal imm comments immediately-yet we're still waiting for her emails. #SemST,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
@HillaryClinton Many of us r near ruin! #SaveTheMiddleClass #PresidentHillaryClinton #StopOutSourcing #SemST,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
