completion,preds
"Clinton, Favor",", Favor"
"Clinton, Against","Trump, "
"Clinton, None",", "
"Clinton, Favor",", "
"Clinton, None","Trump, "
"Clinton, Against","Trump, "
"Clinton, Favor","Trump, "
"Clinton, Against",", "
"Clinton, Favor","Clinton, "
"Clinton, Favor","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", Favor"
"Clinton, Favor",", "
"Clinton, None",", "
"Clinton, None",", Against"
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against","Clinton, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, None",", "
"Clinton, Against",", "
"Clinton, Favor","Trump, "
"Clinton, Favor",", Favor"
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, None","Trump, "
"Clinton, None","Trump, "
"Clinton, None",", "
"Clinton, Against","Trump, "
"Clinton, Favor","Trump, "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Favor","Trump, "
"Clinton, Against",", "
"Clinton, None","Trump, "
"Clinton, Against",", Favor"
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, None","Trump, "
"Clinton, Against","Clinton, "
"Clinton, Against",", "
"Clinton, Favor","Trump, "
"Clinton, Favor",", "
"Clinton, None","Trump, "
"Clinton, Against","Trump, "
"Clinton, Against","Trump, "
"Clinton, Against",", Favor"
"Clinton, Against","Trump, "
"Clinton, Against","Trump, "
"Clinton, Favor","Clinton, "
"Clinton, None",", "
"Clinton, Against","Clinton, "
"Clinton, None",", Favor"
"Clinton, Favor",", "
"Clinton, Favor","Clinton, "
"Clinton, None",", "
"Clinton, Against","Trump, "
"Clinton, Against",", Favor"
"Clinton, None",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, None","Trump, "
"Clinton, Against","Trump, "
"Clinton, Against","Clinton, "
"Clinton, Against","Trump, "
"Clinton, None","Trump, "
"Clinton, Against","Trump, "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, None",", Favor"
"Clinton, Against",", "
"Trump, None",", Favor"
"Trump, Favor","Trump, "
"Trump, Favor",", "
"Trump, None",", "
"Trump, Against",", "
"Trump, Against",", "
"Trump, None","Trump, "
"Trump, Against",", Favor"
"Trump, None",", "
"Trump, None",", "
"Trump, Against",", "
"Trump, Against",", "
"Trump, None","Trump, "
"Trump, None","Trump, "
"Trump, None",", "
"Trump, None",", Favor"
"Trump, None","Trump, "
"Trump, None","Trump, "
"Trump, Against","Trump, "
"Trump, Against",", "
"Trump, None",", "
"Trump, Against","Trump, "
"Trump, Favor",", "
"Trump, Against",", "
"Trump, Against","Trump, "
"Trump, Against",", "
"Trump, None",", "
"Trump, Against",", "
"Trump, Against","Trump, "
"Trump, Against",", Favor"
"Trump, Favor",", "
"Trump, None","Trump, "
"Trump, Favor","Trump, "
"Trump, None",", "
"Trump, Against",", "
"Trump, None","Trump, "
"Trump, Favor",", "
"Trump, Against",", "
"Trump, Favor","Trump, "
"Trump, Favor","Trump, "
"Trump, Against",", Against"
"Trump, None",", "
"Trump, Against","Trump, "
"Trump, Against",", "
"Trump, Favor",", "
"Trump, Against","Trump, "
"Trump, None","Trump, "
"Trump, None",", "
"Trump, Against",", "
"Trump, Against","Trump, "
"Trump, None","Trump, "
"Trump, Against",", "
"Trump, Against",", Favor"
"Trump, Against","Trump, "
"Trump, None","Trump, "
"Trump, Favor","Trump, "
"Trump, Favor","Trump, "
"Trump, Favor","Trump, "
"Trump, Favor",", "
"Trump, None","Trump, "
"Trump, Favor","Trump, "
"Trump, Against","Trump, "
"Trump, Against","Trump, "
"Trump, Favor",", Favor"
"Trump, Against","Trump, "
"Trump, None",", "
"Trump, Against",", "
"Trump, Against",", "
"Trump, Against",", "
"Trump, Against",", "
"Trump, None","Trump, "
"Trump, None","Trump, "
"Trump, Against","Trump, "
"Trump, Favor","Trump, "
"Trump, Against","Trump, "
"Trump, Against",", "
"Trump, None",", "
"Trump, None","Trump, "
"Trump, Against","Trump, "
"Trump, Against",", "
"Trump, Against",", "
"Trump, Against","Trump, "
"Trump, Against",", Favor"
"Trump, Against",", "
"Trump, None","Trump, "
"Trump, Against",", "
"Trump, Against",", "
"Trump, Favor","Trump, "
"Trump, None",", "
"Trump, Favor","Trump, "
"Trump, Favor",", "
"Trump, None","Trump, "
"Trump, None",", Favor"
"Trump, Against",", "
"Trump, Favor",", "
"Trump, Favor",", "
"Trump, None",", "
"Trump, None","Trump, "
"Trump, Against","Trump, "
"Trump, None","Trump, "
"Trump, Against","Trump, "
"Trump, Against","Trump, "
"Trump, Favor",", "
"Trump, None","Trump, "
"Trump, None",", "
"Trump, None","Trump, "
"Trump, Against",", "
"Trump, None",", "
"Trump, Against","Trump, "
"Trump, Against","Trump, "
"Trump, None","Trump, "
"Trump, None",", "
"Trump, None","Trump, "
"Trump, None","Trump, "
"Trump, None",", "
"Trump, Favor",", "
"Trump, None",", "
"Trump, None","Trump, "
"Trump, None",", "
"Trump, None",", Favor"
"Trump, None",", "
"Trump, Against","Trump, "
"Trump, Against",", "
"Trump, None","Trump, "
"Trump, None","Trump, "
"Trump, None",", "
"Trump, Against",", Against"
"Trump, Against",", "
"Trump, Against","Trump, "
"Trump, Against",", "
"Trump, Against","Trump, "
"Trump, None","Trump, "
"Trump, Favor",", "
"Trump, None","Trump, "
"Trump, Favor","Trump, "
"Trump, Favor",", "
"Trump, None",", "
"Trump, None","Trump, "
"Trump, Against","Trump, "
"Trump, Against","Trump, "
"Trump, Against","Clinton, "
"Trump, Against",", "
