prompt,completion,preds
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton lied about the cost of the gala, she was fined for it, but if it were @GOP they'd be in jail  Unfit for office 
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton interview was ridiculous!! She's such a liar!
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hillary is on her way to #Baltimore to be their champion. #BaltimoreRiots
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""if Hillary wins the election there's a chance we might move to Australia. #HILLARY4PRES
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I think marriage is as it has always been, between a man and a woman. - @HillaryClinton  #MarriageEquaility #justsaying
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton Where are the #LGBT pride condoms #BillClinton used when he assaulted #MonicaLewinsky? #HillaryClinton #tlot
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@_Poli_Ana_ No, she's got the #BlackLivesMatter vote w/o even talking to them.  Most blacks are brainwashed by @TheDemocrats
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@AppSame: Queen @HillaryClinton Was asked What she thought about @realDonaldTrump comments on illegals She Said LET ME EAT PIE
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#Hillary is as transparent as a brick wall #LibertyNotHillary
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Was asked by @HillaryClinton to help with her campaign. Gladly (excitedly) accepted!
""""""
","Clinton, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Did you hear the answer Hillary gave to a reporter when they asked a question?!?   Neither have I. 
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#HillaryClinton might want to book smaller venues for her rallies, if not many empty seats will be seen on TV, that's bad lol
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Thank you @HillaryClinton for your support of the LGBT community. On this historic day I thank you for giving us hope.
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Can't #UniteBlue, RT LindaSuhler: Hillary:People Trust Me, Blames 'Constant Barrage of Attacks' By the Right #delusional #WakeUpA...
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Headed to Chester, SC for a big hillary canvass! Join me. Wylie park 11-3
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Don't you someday want to see a well qualified candidate by the president of the United States? #ReflectingHillary
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""It's Monday night,do you know where your Hillary supporters are? In Rock Hill at our Amazing Phone bank! Come join!HillaryforSC
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hillary has sacrificed more Ambassadors, told more lies, hid and destroyed more evidence... The beat goes on,,, @McSadie
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@asphaultangel13 Afterall, they're just a poor black family trying to pay the bills!  @crousselle #WhyImNotVotingForHillary #TCOT
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hillary can't create jobs! Last time she had a job to do, she outsourced it to Monica Lewinsky.
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Didn't take long for Clinton lackey @PaulBegala to play the ""crazy"" card. So predictable
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryforNV Many thanks for the follow!
""""""
","Clinton, Favor","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""If it's been 80+ days since you've done an interview,  can we assume you're not really running for president?
""""""
","Clinton, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@DesireeAaron @HillaryClinton  Sheets Clinton Ya got to love it #HillaryonCNN #HillaryClinton
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@AdamSmith_USA Nice video. GOOD Luck WITH it.
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@josephbenning I agree, these are better than what you had before, like a severe cold is better than pneumonia. Good luck.
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@AndreaTantaros Clinton privilege transcends white privilege, rock star privilege, NFL privilege & intergalactic alien privilege.
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@CBSThisMorning Emails missing and incomplete? Who'd of thunk it?  I'M ABOVE THE LAW and the rest of you peons! JUST TRUST ME!
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""'Hilary is not electable' then you stand no chance @realDonaldTrump #carnivalbarker
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton End lawless #ClintonFoundation. Jail Butcher of #Benghazi. #Arrest rapist #BillClinton. #HillaryClinton
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Dad while watching the news:  Politics is just show business for ugly people #HowAboutNo
""""""
","Clinton, None","Trump, Against, Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@NatureGuy101 @MaryMorientes   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""SO ANYWAYS WHAT DID HE SAY? ANYTHING ABOUT VOTING FOR ME? #OBAMA #ISIS #ISIL
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""The federal government did not create the states, the states created the federal government. Ronald Reagan #Federalism
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Donald Trump is a joke. His a simpleminded idiot, and I have nothing else to say about him. He can go FUCK him self.
""""""
","Clinton, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Our Queen City is currently infested w/ out-of-state plate Priuses driven by millennials w/ Hillary bumper stickers. #MHT
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Today's number is 8! That's how many years old Jesus was when he learned to ride a bike!  Pretty cool dude! #USWNT #proudmom
""""""
","Clinton, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@tedcruz won't be there. I'm supporting @HillaryClinton for President. #lgbtrights #ACAWorks
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""If I get killed. Thank @realDonaldTrump . I was tweeting mad crap about him.  I don't take it back.
""""""
","Clinton, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""U Missouri at KC got Chelsea caus Hils cost too much. Chels could arrive w/ mom - no xtra charge. @HillaryClinton
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@Jami_USA I'm just hoping we don't have to resurrect the no H8 for Hillary's second term.
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@CNNPolitics @PoliticalAnt @moody this is beautiful #oops
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

"""""".@HillaryClinton What's the ambient temperature in #Hell today? Use that as a guide! 
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hillary flew on private jet to speak to speak about Income & Equality. Dinner plates were $2700.00 ! #EqualityForAll #PJNET #CCOT
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump has my vote! The truth will set you free and we need transparency in Washington now more than ever!
""""""
","Clinton, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@thehill : Women deserve a better candidate for the HIGH HONOR if first woman President: We ALL do! #WhyI'mNotVotingForHillary
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@ZekeJMiller @BretBaier @danmericaCNN  How could anyone vote for that woman? 
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""SCOTUS dealt a blow to Hillary Clintons last campaign 'promise'... What is she running on now? Corruption, lies, and deceit.
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@msnbc @Lawrence @JoeBiden @SenSanders  we love Joe and Bernie--but they ARE too OLD--they would end up a #OneTerm President
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#Hillary's still very weak among grassroots - as shown by how strong #BernieSanders got how fast on how little. @AaronBlakeWP
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@TheDemocrats @DNCWomen I'm down to help for 2016 election.
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""The press needs to get out of the way so the peasants can get a glimpse of her Highness. #morningjoe 
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@ReformedBroker ""to da honies gittin money playing #bleep words like dummies"" #POPPA
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Gwen being a good leader and training a new volunteer in rock hill.! #FellowsSC #HillaryForSC
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@CNN and CNN proved they are not a legitimate news organization by not calling her out about all her lies. #JournalismIsDead
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton The deceit hand? Thats a hand you know well. Right?
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Ok now Latino are deciding who is going to be president of the US #Jeb2016 #DonaldTrump #Sanders2016 #
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Can anyone name the jobs #HillaryClinton has been responsible for creating.. Even her security is an entitlement...
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Too many women in too many countries speak the same language ¢´ ´Ó of silence. HILLARY CLINTON #HillaryCliton #Hillary4Women
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton is opening 10 more offices in Iowa this week.  She's not playing around! #iacaucus
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@Ba68scgal The guy w/ the #Benghazi sign has guts Loveit #NoHillary2016
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@17leete17 hahaha. He is some kind of special..  this is why Hillary's going to win! Hahaha.
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Pundits say Jim Webb facing uphill battle with Hillary.  Really, it's with Bernie for the anti-Hillary vote.  #JimWebb
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@BDabs888 let's go shoot your now today.
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Very simple: the Clinton's are corrupt.
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@JewboyDonny oh I know he won't he effed himself over in the beginning 
""""""
","Clinton, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hillary needs to go to a Sheetz gas station after 10 pm to see the real America.
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

"""""".@HillaryClinton Looking 4ward 2 hearing your Economic Agenda on Monday July13. WOW a candidate talking Specifics & not Rhetoric!
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryforNH will u rope off the people too Hillary swine?  #uppers #uniteblue
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@megynkelly Hahahaha combed through emails!!! Bunch of scumbags!!! #NoHillary2016
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""'Hillary-speak' campaign rhetoric is going to be the death of me. @jmarkwalk
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@betheljd Thanks for the follow David, may God bless you and your family.  #freeallfour
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I think it's funny people think Bernie can take on Hillary and Bill
""""""
","Clinton, Favor","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hillary can't use a fucking fax machine but you idiots are going to vote for her to be President? 
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@RedStateJake ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #WakeUpAmerica #StopHillary2016
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@therealjenappel IM HIGH ON HASHTAGS RIGHT NOW I CANT HELP MYSELF #mypresident
""""""
","Clinton, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@jhewitt1280 @SpeakerBoehner @HouseBenghazi @TGowdySC What her emails? They released the rest all very boring.
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I feel confident that @HillaryClinton will win  in 2016.
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton you have my support. (Now lets see how many people unfollow me.) #2016election
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Enjoyed @jamiaw article on feminism + @hillaryclinton.We are building campaign that engages ppl through an intersectional lens
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@Network_Citizen @ProudInfidel33 @YoungBLKRepub ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@finneyk Can't stand @msnbc anymore, but hope @HillaryClinton will go on the @maddow Show! This needs to happen!!
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""RT @muradguderian: Democrats are Red, Obama is a Communist, I'm a true Patriot, So stop Hillary.  #tcot
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@GovChristie can't even run NJ and wants to be president? I'd vote for him before @HillaryClinton
""""""
","Clinton, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""A lot of #GOPHaters for #Hillary - so funny because she is beating them all at 40%
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#Clintonemails are just a prelude of what her presidency could be if elected, a myrad of scandals @GOP @FloridaGOP @marcorubio
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Why does the "" shit barometer "" always rise when Republicans speak? #USA #July4
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""A proper introduction of Hillary Clinton should begin with five words: Will the defendant please rise #WhyImNotVotingForHillary
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Entire campaign platform for @HillaryClinton seems to be... ""I'm Hillary Clinton"".  #norecord #nosubstance #tcot #PJNET
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@nytimes was that ""awkwardness"" or ""awfulness""? I think the latter
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@Reince Facts confirm what we knew. Used server to prevent e-mails from becoming public records. Like Obama, no transparency.
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I find allowing the deaths of Americans in Benghazi to be more offensive than the name Redskins. #Benghazi #redskins
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@NRO Does @johnpodesta have any grasp on reality? I need more than 140 characters to address someone as naive as this man.
""""""
","Clinton, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""If you support @HillaryClinton you are supporting another term of the policies of George W Bush. #democrats #mepolitics
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@ReCorwin She didn't even answer with a complete sentence LOL. #Legend
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@JusticeWillett at least he has a platform
""""""
","Clinton, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""The young Skinheads from yesterday's Aryan Nations has grown up to become the Tea Party of today. Same exact doctrine @msnbc 
""""""
","Clinton, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Apparently, @BernieSanders fans don't like to see Hillary's name even implied.  #SheWhoShallNotBeNamedBecauseShesWinning
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""That's true, as long as one works hard, has a record of accomplishment and deserves it. @HillaryClinton NOT
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@LeighAnnKopans can I get your pattern for this cross stitch? I want to make my own! #pride
""""""
","Clinton, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@pdg811 Didn't realize I was in a Republican echo chamber of faux scandals! Ask Gowdy to #Releasethetranscript  #ITrustHillary
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Didn't realize Bob Dole was mentioned in Tupac's ""How do u want it"" #YesterdaysLeaders
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@CNNSotu @jaketapper - Can we get back to the issues? That's what #Bernie2016 wants to talk about. Not about
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I stand with @HillaryClinton I know she is for women, poor,children, middle class and GUN CONTROL.
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@anthonyweiner super out of touch and stupid.   Please go away. #NYCPride #NYC
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""It's time that we move from good words to good works, from sound bites to sound solutions.--@HillaryClinton #ReadyForHillary
""""""
","Clinton, Favor","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton the @DalaiLama speaks of women in leadership roles bringing about a more compassionate world. #potus
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@Breaking911 Probably she made a promise to support gun rights to one citizen, while promising to ban guns to the other
""""""
","Clinton, Against","Clinton, Against"
