stanceTrump,stanceClinton,reply_id,post_id,preds
Support,Oppose,0,77,"Support, Oppose"
Oppose,Neither,1,77,"Oppose, Neither"
Support,Oppose,0,78,"Support, Oppose"
Oppose,Neither,1,78,"Oppose, Neither"
Support,Oppose,0,79,"Support, Oppose"
Support,Oppose,1,79,"Support, Oppose"
Neither,Oppose,0,80,"Neither, Oppose"
Neither,Oppose,1,80,"Neither, Oppose"
Neither,Oppose,0,81,"Neither, Oppose"
Neither,Oppose,1,81,"Neither, Oppose"
Support,Oppose,0,82,"Support, Oppose"
Oppose,Neither,1,82,"Oppose, Neither"
Neither,Neither,0,83,"Neither, Neither"
Neither,Neither,1,83,"Neither, Neither"
Neither,Neither,0,84,"Neither, Neither"
Neither,Neither,1,84,"Neither, Neither"
Oppose,Support,0,85,"Oppose, Support"
Neither,Oppose,1,85,"Neither, Oppose"
Neither,Oppose,0,86,"Neither, Oppose"
Neither,Support,1,86,"Neither, Support"
Neither,Support,0,87,"Neither, Support"
Neither,Oppose,1,87,"Neither, Oppose"
Support,Oppose,0,88,"Support, Oppose"
Neither,Neither,1,88,"Neither, Neither"
Neither,Neither,0,89,"Neither, Neither"
Neither,Neither,1,89,"Neither, Neither"
Neither,Oppose,0,90,"Neither, Oppose"
Neither,Neither,1,90,"Neither, Neither"
Oppose,Support,0,91,"Oppose, Support"
Neither,Oppose,1,91,"Neither, Oppose"
Support,Oppose,0,92,"Support, Oppose"
Support,Oppose,1,92,"Support, Oppose"
Neither,Oppose,0,93,"Neither, Oppose"
Neither,Oppose,1,93,"Neither, Oppose"
Support,Oppose,0,94,"Support, Oppose"
Support,Oppose,1,94,"Support, Oppose"
Neither,Neither,0,95,"Neither, Neither"
Support,Neither,1,95,"Support, Neither"
Neither,Support,0,96,"Neither, Support"
Neither,Support,1,96,"Neither, Support"
Support,Neither,0,97,"Support, Neither"
Neither,Neither,1,97,"Neither, Neither"
Oppose,Neither,0,98,"Oppose, Neither"
Support,Neither,1,98,"Support, Neither"
Neither,Neither,0,99,"Neither, Neither"
Neither,Neither,1,99,"Neither, Neither"
Support,Oppose,0,100,"Support, Oppose"
Neither,Oppose,1,100,"Neither, Oppose"
Oppose,Neither,0,101,"Oppose, Neither"
Support,Neither,1,101,"Support, Neither"
Oppose,Neither,2,101,"Oppose, Neither"
Support,Oppose,0,102,"Support, Oppose"
Oppose,Support,1,102,"Oppose, Support"
Support,Oppose,2,102,"Support, Oppose"
Neither,Neither,0,103,"Neither, Neither"
Neither,Neither,1,103,"Neither, Neither"
Neither,Neither,2,103,"Neither, Neither"
Support,Oppose,0,104,"Support, Oppose"
Support,Oppose,1,104,"Support, Oppose"
Neither,Oppose,2,104,"Neither, Oppose"
Neither,Oppose,0,105,"Neither, Oppose"
Neither,Support,1,105,"Neither, Support"
Neither,Neither,2,105,"Neither, Neither"
Neither,Support,0,106,"Neither, Support"
Neither,Oppose,1,106,"Neither, Oppose"
Neither,Neither,2,106,"Neither, Neither"
Oppose,Support,0,107,"Oppose, Support"
Oppose,Oppose,1,107,"Oppose, Oppose"
Neither,Neither,2,107,"Neither, Neither"
Support,Oppose,0,108,"Support, Oppose"
Oppose,Support,1,108,"Oppose, Support"
Support,Oppose,2,108,"Support, Oppose"
Support,Oppose,0,109,"Support, Oppose"
Support,Oppose,1,109,"Support, Oppose"
Support,Oppose,2,109,"Support, Oppose"
Neither,Oppose,0,110,"Neither, Oppose"
Neither,Neither,1,110,"Neither, Neither"
Neither,Oppose,2,110,"Neither, Oppose"
Oppose,Neither,0,111,"Oppose, Neither"
Neither,Oppose,1,111,"Neither, Oppose"
Support,Neither,2,111,"Support, Neither"
Neither,Oppose,0,112,"Neither, Oppose"
Oppose,Neither,1,112,"Oppose, Neither"
Support,Oppose,2,112,"Support, Oppose"
Support,Neither,0,113,"Support, Neither"
Oppose,Neither,1,113,"Oppose, Neither"
Neither,Neither,2,113,"Neither, Neither"
Neither,Neither,0,114,"Neither, Neither"
Neither,Neither,1,114,"Neither, Neither"
Oppose,Neither,2,114,"Oppose, Neither"
Support,Oppose,0,115,"Support, Oppose"
Support,Neither,1,115,"Support, Neither"
Support,Oppose,2,115,"Support, Oppose"
Support,Oppose,0,116,"Support, Oppose"
Neither,Neither,1,116,"Neither, Neither"
Neither,Neither,2,116,"Neither, Neither"
Support,Neither,0,117,"Support, Neither"
Neither,Neither,1,117,"Neither, Neither"
Neither,Neither,2,117,"Neither, Neither"
Neither,Oppose,0,118,"Neither, Oppose"
Neither,Oppose,1,118,"Neither, Oppose"
Neither,Oppose,2,118,"Neither, Oppose"
Neither,Oppose,0,119,"Neither, Oppose"
Neither,Oppose,1,119,"Neither, Oppose"
Neither,Oppose,2,119,"Neither, Oppose"
Neither,Oppose,0,120,"Neither, Oppose"
Neither,Neither,1,120,"Neither, Neither"
Neither,Neither,2,120,"Neither, Neither"
Support,Oppose,0,121,"Support, Oppose"
Oppose,Neither,1,121,"Oppose, Neither"
Neither,Oppose,2,121,"Neither, Oppose"
Support,Neither,0,122,"Support, Neither"
Oppose,Support,1,122,"Oppose, Support"
Oppose,Neither,2,122,"Oppose, Neither"
Oppose,Support,0,123,"Oppose, Support"
Neither,Neither,1,123,"Neither, Neither"
Neither,Neither,2,123,"Neither, Neither"
Neither,Oppose,0,124,"Neither, Oppose"
Neither,Oppose,1,124,"Neither, Oppose"
Neither,Oppose,2,124,"Neither, Oppose"
Neither,Oppose,0,125,"Neither, Oppose"
Neither,Support,1,125,"Neither, Support"
Neither,Oppose,2,125,"Neither, Oppose"
Support,Oppose,0,126,"Support, Oppose"
Support,Oppose,1,126,"Support, Oppose"
Oppose,Neither,2,126,"Oppose, Neither"
Neither,Oppose,0,127,"Neither, Oppose"
Oppose,Neither,1,127,"Oppose, Neither"
Neither,Oppose,2,127,"Neither, Oppose"
Support,Oppose,0,128,"Support, Oppose"
Neither,Oppose,1,128,"Neither, Oppose"
Oppose,Support,2,128,"Oppose, Support"
Oppose,Support,0,129,"Oppose, Support"
Support,Neither,1,129,"Support, Neither"
Neither,Neither,2,129,"Neither, Neither"
Neither,Oppose,0,130,"Neither, Oppose"
Support,Neither,1,130,"Support, Neither"
Neither,Neither,2,130,"Neither, Neither"
Neither,Support,0,131,"Neither, Support"
Neither,Support,1,131,"Neither, Support"
Neither,Support,2,131,"Neither, Support"
Neither,Neither,0,132,"Neither, Neither"
Neither,Neither,1,132,"Neither, Neither"
Oppose,Neither,2,132,"Oppose, Neither"
Support,Oppose,0,133,"Support, Oppose"
Oppose,Neither,1,133,"Oppose, Neither"
Neither,Neither,2,133,"Neither, Neither"
Neither,Support,0,134,"Neither, Support"
Neither,Neither,1,134,"Neither, Neither"
Neither,Neither,2,134,"Neither, Neither"
Oppose,Neither,0,135,"Oppose, Neither"
Support,Neither,1,135,"Support, Neither"
Neither,Neither,2,135,"Neither, Neither"
Neither,Neither,0,136,"Neither, Neither"
Oppose,Neither,1,136,"Oppose, Neither"
Oppose,Neither,2,136,"Oppose, Neither"
Oppose,Neither,0,137,"Oppose, Neither"
Neither,Neither,1,137,"Neither, Neither"
Support,Neither,2,137,"Support, Neither"
Neither,Oppose,0,138,"Neither, Oppose"
Oppose,Neither,1,138,"Oppose, Neither"
Neither,Oppose,2,138,"Neither, Oppose"
Support,Oppose,0,139,"Support, Oppose"
Support,Oppose,1,139,"Support, Oppose"
Neither,Neither,2,139,"Neither, Neither"
Neither,Neither,0,140,"Neither, Neither"
Neither,Neither,1,140,"Neither, Neither"
Neither,Oppose,2,140,"Neither, Oppose"
Oppose,Neither,0,141,"Oppose, Neither"
Support,Neither,1,141,"Support, Neither"
Oppose,Neither,2,141,"Oppose, Neither"
Neither,Oppose,0,142,"Neither, Oppose"
Neither,Neither,1,142,"Neither, Neither"
Neither,Oppose,2,142,"Neither, Oppose"
Neither,Oppose,0,143,"Neither, Oppose"
Neither,Oppose,1,143,"Neither, Oppose"
Support,Oppose,2,143,"Support, Oppose"
Neither,Oppose,0,144,"Neither, Oppose"
Neither,Oppose,1,144,"Neither, Oppose"
Neither,Oppose,2,144,"Neither, Oppose"
Neither,Neither,0,145,"Neither, Neither"
Neither,Neither,1,145,"Neither, Neither"
Neither,Neither,2,145,"Neither, Neither"
Support,Oppose,0,146,"Support, Oppose"
Support,Oppose,1,146,"Support, Oppose"
Support,Oppose,2,146,"Support, Oppose"
Oppose,Neither,0,147,"Oppose, Neither"
Support,Neither,1,147,"Support, Neither"
Neither,Neither,2,147,"Neither, Neither"
Support,Oppose,0,148,"Support, Oppose"
Neither,Support,1,148,"Neither, Support"
Neither,Oppose,2,148,"Neither, Oppose"
Neither,Oppose,0,149,"Neither, Oppose"
Neither,Neither,1,149,"Neither, Neither"
Neither,Neither,2,149,"Neither, Neither"
Neither,Oppose,0,150,"Neither, Oppose"
Neither,Oppose,1,150,"Neither, Oppose"
Neither,Oppose,2,150,"Neither, Oppose"
Oppose,Support,0,151,"Oppose, Support"
Neither,Oppose,1,151,"Neither, Oppose"
Neither,Neither,2,151,"Neither, Neither"
Oppose,Neither,3,151,"Oppose, Neither"
Neither,Support,0,152,"Neither, Support"
Support,Oppose,1,152,"Support, Oppose"
Neither,Oppose,2,152,"Neither, Oppose"
Neither,Neither,3,152,"Neither, Neither"
Neither,Neither,0,153,"Neither, Neither"
Neither,Neither,1,153,"Neither, Neither"
Neither,Neither,2,153,"Neither, Neither"
Neither,Neither,3,153,"Neither, Neither"
Support,Neither,0,154,"Support, Neither"
Support,Neither,1,154,"Support, Neither"
Support,Neither,2,154,"Support, Neither"
Support,Oppose,3,154,"Support, Oppose"
Oppose,Support,0,155,"Oppose, Support"
Neither,Oppose,1,155,"Neither, Oppose"
Neither,Support,2,155,"Neither, Support"
Neither,Oppose,3,155,"Neither, Oppose"
Oppose,Neither,0,156,"Oppose, Neither"
Neither,Neither,1,156,"Neither, Neither"
Oppose,Neither,2,156,"Oppose, Neither"
Support,Oppose,3,156,"Support, Oppose"
Oppose,Support,0,157,"Oppose, Support"
Support,Oppose,1,157,"Support, Oppose"
Neither,Neither,2,157,"Neither, Neither"
Neither,Neither,3,157,"Neither, Neither"
Support,Neither,0,158,"Support, Neither"
Neither,Neither,1,158,"Neither, Neither"
Neither,Neither,2,158,"Neither, Neither"
Support,Neither,3,158,"Support, Neither"
Neither,Support,0,159,"Neither, Support"
Support,Oppose,1,159,"Support, Oppose"
Neither,Neither,2,159,"Neither, Neither"
Neither,Neither,3,159,"Neither, Neither"
Support,Oppose,0,160,"Support, Oppose"
Support,Oppose,1,160,"Support, Oppose"
Support,Oppose,2,160,"Support, Oppose"
Neither,Neither,3,160,"Neither, Neither"
Oppose,Neither,0,161,"Oppose, Neither"
Neither,Oppose,1,161,"Neither, Oppose"
Neither,Neither,2,161,"Neither, Neither"
Oppose,Neither,3,161,"Oppose, Neither"
Support,Oppose,0,162,"Support, Oppose"
Neither,Oppose,1,162,"Neither, Oppose"
Support,Neither,2,162,"Support, Neither"
Support,Neither,3,162,"Support, Neither"
Neither,Neither,0,163,"Neither, Neither"
Neither,Neither,1,163,"Neither, Neither"
Neither,Neither,2,163,"Neither, Neither"
Neither,Neither,3,163,"Neither, Neither"
Neither,Support,0,164,"Neither, Support"
Neither,Oppose,1,164,"Neither, Oppose"
Neither,Oppose,2,164,"Neither, Oppose"
Neither,Support,3,164,"Neither, Support"
Support,Neither,0,165,"Support, Neither"
Neither,Neither,1,165,"Neither, Neither"
Support,Oppose,2,165,"Support, Oppose"
Support,Neither,3,165,"Support, Neither"
Support,Oppose,0,166,"Support, Oppose"
Oppose,Support,1,166,"Oppose, Support"
Neither,Oppose,2,166,"Neither, Oppose"
Oppose,Support,3,166,"Oppose, Support"
Neither,Oppose,0,167,"Neither, Oppose"
Support,Oppose,1,167,"Support, Oppose"
Neither,Oppose,2,167,"Neither, Oppose"
Oppose,Support,3,167,"Oppose, Support"
Neither,Support,0,168,"Neither, Support"
Neither,Support,1,168,"Neither, Support"
Neither,Support,2,168,"Neither, Support"
Oppose,Support,3,168,"Oppose, Support"
Oppose,Neither,0,169,"Oppose, Neither"
Neither,Oppose,1,169,"Neither, Oppose"
Neither,Oppose,2,169,"Neither, Oppose"
Oppose,Support,3,169,"Oppose, Support"
Neither,Neither,0,170,"Neither, Neither"
Oppose,Neither,1,170,"Oppose, Neither"
Support,Oppose,2,170,"Support, Oppose"
Neither,Neither,3,170,"Neither, Neither"
Support,Oppose,0,171,"Support, Oppose"
Oppose,Neither,1,171,"Oppose, Neither"
Neither,Neither,2,171,"Neither, Neither"
Support,Oppose,3,171,"Support, Oppose"
Support,Oppose,0,172,"Support, Oppose"
Support,Neither,1,172,"Support, Neither"
Neither,Neither,2,172,"Neither, Neither"
Neither,Support,3,172,"Neither, Support"
Support,Oppose,0,173,"Support, Oppose"
Neither,Neither,1,173,"Neither, Neither"
Support,Oppose,2,173,"Support, Oppose"
Neither,Neither,3,173,"Neither, Neither"
Oppose,Support,0,174,"Oppose, Support"
Oppose,Neither,1,174,"Oppose, Neither"
Oppose,Neither,2,174,"Oppose, Neither"
Neither,Neither,3,174,"Neither, Neither"
Neither,Support,0,175,"Neither, Support"
Neither,Oppose,1,175,"Neither, Oppose"
Oppose,Support,2,175,"Oppose, Support"
Neither,Oppose,3,175,"Neither, Oppose"
Neither,Oppose,0,176,"Neither, Oppose"
Oppose,Neither,1,176,"Oppose, Neither"
Neither,Oppose,2,176,"Neither, Oppose"
Support,Neither,3,176,"Support, Neither"
Oppose,Neither,0,177,"Oppose, Neither"
Oppose,Neither,1,177,"Oppose, Neither"
Oppose,Neither,2,177,"Oppose, Neither"
Neither,Oppose,3,177,"Neither, Oppose"
Neither,Support,0,178,"Neither, Support"
Neither,Neither,1,178,"Neither, Neither"
Neither,Oppose,2,178,"Neither, Oppose"
Neither,Support,3,178,"Neither, Support"
Neither,Oppose,0,179,"Neither, Oppose"
Support,Oppose,1,179,"Support, Oppose"
Neither,Neither,2,179,"Neither, Neither"
Neither,Neither,3,179,"Neither, Neither"
Support,Neither,0,180,"Support, Neither"
Support,Neither,1,180,"Support, Neither"
Support,Neither,2,180,"Support, Neither"
Support,Neither,3,180,"Support, Neither"
Support,Oppose,0,181,"Support, Oppose"
Oppose,Neither,1,181,"Oppose, Neither"
Neither,Neither,2,181,"Neither, Neither"
Neither,Oppose,3,181,"Neither, Oppose"
Oppose,Neither,0,182,"Oppose, Neither"
Support,Neither,1,182,"Support, Neither"
Neither,Oppose,2,182,"Neither, Oppose"
Oppose,Neither,3,182,"Oppose, Neither"
Oppose,Neither,0,183,"Oppose, Neither"
Support,Neither,1,183,"Support, Neither"
Neither,Neither,2,183,"Neither, Neither"
Neither,Neither,3,183,"Neither, Neither"
Neither,Oppose,0,184,"Neither, Oppose"
Support,Oppose,1,184,"Support, Oppose"
Oppose,Support,2,184,"Oppose, Support"
Neither,Oppose,3,184,"Neither, Oppose"
Support,Oppose,0,185,"Support, Oppose"
Neither,Neither,1,185,"Neither, Neither"
Neither,Neither,2,185,"Neither, Neither"
Neither,Oppose,3,185,"Neither, Oppose"
Oppose,Support,0,186,"Oppose, Support"
Oppose,Support,1,186,"Oppose, Support"
Neither,Support,2,186,"Neither, Support"
Neither,Neither,3,186,"Neither, Neither"
Oppose,Neither,0,187,"Oppose, Neither"
Support,Neither,1,187,"Support, Neither"
Support,Neither,2,187,"Support, Neither"
Oppose,Neither,3,187,"Oppose, Neither"
Neither,Oppose,0,188,"Neither, Oppose"
Oppose,Support,1,188,"Oppose, Support"
Neither,Neither,2,188,"Neither, Neither"
Neither,Oppose,3,188,"Neither, Oppose"
Neither,Oppose,0,189,"Neither, Oppose"
Neither,Neither,1,189,"Neither, Neither"
Neither,Neither,2,189,"Neither, Neither"
Neither,Neither,3,189,"Neither, Neither"
Support,Oppose,0,190,"Support, Oppose"
Neither,Neither,1,190,"Neither, Neither"
Oppose,Neither,2,190,"Oppose, Neither"
Neither,Neither,3,190,"Neither, Neither"
Neither,Oppose,0,191,"Neither, Oppose"
Neither,Neither,1,191,"Neither, Neither"
Oppose,Neither,2,191,"Oppose, Neither"
Neither,Oppose,3,191,"Neither, Oppose"
Neither,Oppose,0,192,"Neither, Oppose"
Support,Neither,1,192,"Support, Neither"
Support,Neither,2,192,"Support, Neither"
Neither,Oppose,3,192,"Neither, Oppose"
Neither,Oppose,0,193,"Neither, Oppose"
Oppose,Support,1,193,"Oppose, Support"
Oppose,Neither,2,193,"Oppose, Neither"
Neither,Neither,3,193,"Neither, Neither"
Oppose,Support,0,194,"Oppose, Support"
Neither,Oppose,1,194,"Neither, Oppose"
Oppose,Support,2,194,"Oppose, Support"
Neither,Neither,3,194,"Neither, Neither"
Support,Oppose,0,195,"Support, Oppose"
Oppose,Neither,1,195,"Oppose, Neither"
Support,Neither,2,195,"Support, Neither"
Support,Neither,3,195,"Support, Neither"
Neither,Oppose,0,196,"Neither, Oppose"
Oppose,Support,1,196,"Oppose, Support"
Neither,Oppose,2,196,"Neither, Oppose"
Support,Oppose,3,196,"Support, Oppose"
Neither,Neither,0,197,"Neither, Neither"
Neither,Neither,1,197,"Neither, Neither"
Neither,Neither,2,197,"Neither, Neither"
Neither,Neither,3,197,"Neither, Neither"
Support,Oppose,0,198,"Support, Oppose"
Oppose,Neither,1,198,"Oppose, Neither"
Neither,Oppose,2,198,"Neither, Oppose"
Support,Oppose,3,198,"Support, Oppose"
Support,Oppose,0,199,"Support, Oppose"
Neither,Support,1,199,"Neither, Support"
Neither,Oppose,2,199,"Neither, Oppose"
Neither,Neither,3,199,"Neither, Neither"
Neither,Neither,0,200,"Neither, Neither"
Neither,Neither,1,200,"Neither, Neither"
Neither,Neither,2,200,"Neither, Neither"
Neither,Neither,3,200,"Neither, Neither"
Support,Neither,0,201,"Support, Neither"
Support,Neither,1,201,"Support, Neither"
Support,Neither,2,201,"Support, Neither"
Oppose,Neither,3,201,"Oppose, Neither"
Support,Neither,4,201,"Support, Neither"
Support,Neither,0,202,"Support, Neither"
Support,Neither,1,202,"Support, Neither"
Support,Neither,2,202,"Support, Neither"
Support,Oppose,3,202,"Support, Oppose"
Neither,Oppose,4,202,"Neither, Oppose"
Neither,Oppose,0,203,"Neither, Oppose"
Neither,Neither,1,203,"Neither, Neither"
Support,Neither,2,203,"Support, Neither"
Neither,Neither,3,203,"Neither, Neither"
Neither,Neither,4,203,"Neither, Neither"
Support,Neither,0,204,"Support, Neither"
Oppose,Neither,1,204,"Oppose, Neither"
Oppose,Neither,2,204,"Oppose, Neither"
Oppose,Neither,3,204,"Oppose, Neither"
Neither,Neither,4,204,"Neither, Neither"
Support,Neither,0,205,"Support, Neither"
Oppose,Neither,1,205,"Oppose, Neither"
Neither,Neither,2,205,"Neither, Neither"
Neither,Neither,3,205,"Neither, Neither"
Neither,Neither,4,205,"Neither, Neither"
Support,Neither,0,206,"Support, Neither"
Support,Neither,1,206,"Support, Neither"
Neither,Neither,2,206,"Neither, Neither"
Support,Neither,3,206,"Support, Neither"
Support,Neither,4,206,"Support, Neither"
Support,Oppose,0,207,"Support, Oppose"
Support,Oppose,1,207,"Support, Oppose"
Oppose,Support,2,207,"Oppose, Support"
Neither,Oppose,3,207,"Neither, Oppose"
Support,Oppose,4,207,"Support, Oppose"
Neither,Support,0,208,"Neither, Support"
Neither,Oppose,1,208,"Neither, Oppose"
Oppose,Neither,2,208,"Oppose, Neither"
Neither,Neither,3,208,"Neither, Neither"
Neither,Oppose,4,208,"Neither, Oppose"
Neither,Neither,0,209,"Neither, Neither"
Support,Neither,1,209,"Support, Neither"
Oppose,Neither,2,209,"Oppose, Neither"
Neither,Neither,3,209,"Neither, Neither"
Neither,Oppose,4,209,"Neither, Oppose"
Support,Neither,0,210,"Support, Neither"
Support,Neither,1,210,"Support, Neither"
Support,Neither,2,210,"Support, Neither"
Support,Neither,3,210,"Support, Neither"
Support,Neither,4,210,"Support, Neither"
Support,Oppose,0,211,"Support, Oppose"
Oppose,Neither,1,211,"Oppose, Neither"
Neither,Oppose,2,211,"Neither, Oppose"
Neither,Oppose,3,211,"Neither, Oppose"
Neither,Neither,4,211,"Neither, Neither"
Neither,Neither,0,212,"Neither, Neither"
Neither,Neither,1,212,"Neither, Neither"
Oppose,Neither,2,212,"Oppose, Neither"
Neither,Neither,3,212,"Neither, Neither"
Neither,Neither,4,212,"Neither, Neither"
Oppose,Neither,0,213,"Oppose, Neither"
Support,Oppose,1,213,"Support, Oppose"
Oppose,Neither,2,213,"Oppose, Neither"
Oppose,Neither,3,213,"Oppose, Neither"
Support,Neither,4,213,"Support, Neither"
Oppose,Neither,0,214,"Oppose, Neither"
Neither,Neither,1,214,"Neither, Neither"
Neither,Neither,2,214,"Neither, Neither"
Neither,Neither,3,214,"Neither, Neither"
Oppose,Neither,4,214,"Oppose, Neither"
Neither,Oppose,0,215,"Neither, Oppose"
Neither,Support,1,215,"Neither, Support"
Neither,Oppose,2,215,"Neither, Oppose"
Neither,Oppose,3,215,"Neither, Oppose"
Neither,Oppose,4,215,"Neither, Oppose"
Support,Oppose,0,216,"Support, Oppose"
Neither,Neither,1,216,"Neither, Neither"
Neither,Neither,2,216,"Neither, Neither"
Neither,Oppose,3,216,"Neither, Oppose"
Neither,Neither,4,216,"Neither, Neither"
Neither,Support,0,217,"Neither, Support"
Oppose,Support,1,217,"Oppose, Support"
Neither,Oppose,2,217,"Neither, Oppose"
Neither,Support,3,217,"Neither, Support"
Neither,Oppose,4,217,"Neither, Oppose"
Neither,Support,0,218,"Neither, Support"
Neither,Support,1,218,"Neither, Support"
Neither,Oppose,2,218,"Neither, Oppose"
Neither,Support,3,218,"Neither, Support"
Neither,Oppose,4,218,"Neither, Oppose"
Support,Oppose,0,219,"Support, Oppose"
Neither,Neither,1,219,"Neither, Neither"
Neither,Neither,2,219,"Neither, Neither"
Oppose,Neither,3,219,"Oppose, Neither"
Support,Neither,4,219,"Support, Neither"
Neither,Neither,0,220,"Neither, Neither"
Neither,Neither,1,220,"Neither, Neither"
Neither,Neither,2,220,"Neither, Neither"
Oppose,Support,3,220,"Oppose, Support"
Oppose,Support,4,220,"Oppose, Support"
Neither,Support,0,221,"Neither, Support"
Neither,Oppose,1,221,"Neither, Oppose"
Neither,Support,2,221,"Neither, Support"
Neither,Oppose,3,221,"Neither, Oppose"
Neither,Neither,4,221,"Neither, Neither"
Oppose,Support,0,222,"Oppose, Support"
Neither,Oppose,1,222,"Neither, Oppose"
Neither,Oppose,2,222,"Neither, Oppose"
Neither,Neither,3,222,"Neither, Neither"
Neither,Neither,4,222,"Neither, Neither"
Support,Oppose,0,223,"Support, Oppose"
Neither,Support,1,223,"Neither, Support"
Neither,Neither,2,223,"Neither, Neither"
Neither,Support,3,223,"Neither, Support"
Neither,Oppose,4,223,"Neither, Oppose"
Oppose,Neither,0,224,"Oppose, Neither"
Support,Oppose,1,224,"Support, Oppose"
Neither,Neither,2,224,"Neither, Neither"
Neither,Neither,3,224,"Neither, Neither"
Oppose,Neither,4,224,"Oppose, Neither"
Neither,Neither,0,225,"Neither, Neither"
Neither,Neither,1,225,"Neither, Neither"
Neither,Oppose,2,225,"Neither, Oppose"
Neither,Neither,3,225,"Neither, Neither"
Neither,Oppose,4,225,"Neither, Oppose"
Support,Neither,0,226,"Support, Neither"
